1954.5	-0.681558089123428	-0.173573445986897	0.8
1954.75	0.528054377684498	0.54216712466939	0.85
1955	2.61971078991712	1.60052122268706	1.39
1955.25	3.48600147620755	2.26007542907141	1.43
1955.5	4.03210066161137	2.88717269191423	1.68
1955.75	3.77756496708412	2.69718827043928	2.24
1956	2.48875007266531	3.95959425385115	2.45
1956.25	2.44491354515503	3.73395843322353	2.62
1956.5	1.4711497780844	4.54198428502064	2.75
1956.75	2.23205882472143	2.43547530265147	2.96
1957	1.96730880427799	4.62526707423532	2.84
1957.25	0.836657238206612	2.79377062151465	3
1957.5	0.923586914333441	3.05276453695846	2.99
1957.75	-1.03028711852562	2.1014074202327	3.5
1958	-4.66398906837424	3.48453122691783	2.72
1958.25	-4.94086413437412	1.7602218900171	1.26
1958.5	-3.50582218055558	1.11081409235592	0.68
1958.75	-2.07694065778162	0.66112503505078	1.8
1959	-1.02337795007759	1.7834671398882	2.48
1959.25	0.715679215039813	0.599164181514134	2.96
1959.5	-0.225992108309697	1.13787111760288	3.47
1959.75	-0.765079265610098	1.59527395937502	3.98
